เดือน,ยี่ห้อ,แบบรถ,จำนวน
2026-01,Hyundai,Staria,32
2026-02,Hyundai,Staria,41
2026-03,Hyundai,Staria,23
2026-04,Hyundai,Staria,27
2026-05,Hyundai,Staria,24
2026-06,Hyundai,Staria,33
2026-07,Hyundai,Staria,35
2026-08,Hyundai,Staria,19
2026-09,Hyundai,Staria,26
2026-10,Hyundai,Staria,23
2026-11,Hyundai,Staria,17
2026-12,Hyundai,Staria,23
2026-01,Kia,Carnival,33
2026-02,Kia,Carnival,45
2026-03,Kia,Carnival,25
2026-04,Kia,Carnival,49
2026-05,Kia,Carnival,38
2026-06,Kia,Carnival,31
2026-07,Kia,Carnival,28
2026-08,Kia,Carnival,36
2026-09,Kia,Carnival,41
2026-10,Kia,Carnival,30
2026-11,Kia,Carnival,24
2026-12,Kia,Carnival,42
